Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Search Profile,101266,6296,8767,9482,9596,9820,9,10270,0.641%,65.87328,623.10,26.05
TOTAL,101266,6296,8767,9482,9596,9820,9,10270,0.641%,65.87328,623.10,26.05
